iter	Passed	Remaining
0	146	146301
1	147	73782
2	149	49806
3	151	37756
4	153	30564
5	155	25707
6	156	22231
7	158	19660
8	160	17626
9	161	16009
10	163	14667
11	164	13567
12	166	12614
13	167	11816
14	169	11103
15	170	10481
16	172	9948
17	173	9468
18	174	9034
19	176	8646
20	178	8310
21	179	7992
22	181	7699
23	182	7435
24	184	7186
25	185	6956
26	187	6742
27	188	6540
28	189	6349
29	190	6173
30	192	6009
31	193	5856
32	194	5713
33	196	5578
34	197	5452
35	199	5332
36	200	5219
37	201	5110
38	203	5015
39	205	4924
40	206	4836
41	208	4754
42	209	4672
43	211	4599
44	213	4531
45	215	4465
46	216	4393
47	218	4328
48	219	4263
49	220	4197
50	222	4131
51	223	4071
52	224	4014
53	226	3968
54	228	3920
55	229	3873
56	231	3831
57	232	3782
58	234	3738
59	235	3695
60	237	3656
61	239	3616
62	240	3582
63	242	3548
64	244	3513
65	245	3480
66	247	3445
67	248	3401
68	249	3368
69	251	3335
70	252	3306
71	254	3277
72	255	3248
73	257	3219
74	258	3189
75	259	3159
76	261	3130
77	262	3102
78	264	3077
79	265	3051
80	266	3027
81	268	3001
82	269	2980
83	271	2960
84	272	2932
85	274	2914
86	275	2887
87	276	2865
88	278	2845
89	279	2826
90	280	2805
91	282	2785
92	284	2770
93	285	2754
94	287	2737
95	289	2721
96	290	2705
97	292	2688
98	293	2672
99	295	2660
100	297	2645
101	298	2625
102	299	2610
103	301	2595
104	303	2586
105	304	2571
106	306	2557
107	307	2542
108	309	2529
109	310	2516
110	312	2503
111	314	2496
112	316	2483
113	317	2469
114	319	2456
115	320	2441
116	321	2428
117	323	2414
118	324	2399
119	325	2389
120	327	2378
121	329	2369
122	330	2355
123	331	2344
124	333	2332
125	334	2321
126	336	2311
127	337	2296
128	338	2287
129	340	2277
130	341	2268
131	343	2259
132	345	2251
133	346	2241
134	348	2231
135	349	2221
136	350	2210
137	352	2200
138	353	2191
139	355	2183
140	357	2176
141	358	2166
142	360	2160
143	362	2152
144	363	2143
145	364	2134
146	366	2125
147	367	2116
148	370	2113
149	371	2107
150	373	2099
151	375	2093
152	376	2086
153	378	2080
154	380	2074
155	382	2067
156	384	2062
157	385	2056
158	387	2049
159	388	2041
160	390	2034
161	391	2026
162	393	2018
163	394	2012
164	396	2004
165	397	1997
166	399	1992
167	400	1985
168	402	1978
169	403	1971
170	405	1964
171	406	1957
172	408	1950
173	409	1943
174	411	1938
175	413	1933
176	414	1929
177	416	1924
178	418	1919
179	419	1913
180	420	1903
181	421	1896
182	423	1889
183	424	1883
184	426	1877
185	427	1871
186	429	1865
187	430	1859
188	432	1855
189	433	1849
190	435	1843
191	436	1838
192	438	1832
193	439	1827
194	441	1822
195	442	1817
196	444	1811
197	445	1806
198	447	1802
199	449	1796
200	450	1791
201	452	1786
202	453	1780
203	454	1775
204	456	1770
205	458	1765
206	459	1761
207	461	1756
208	462	1752
209	464	1747
210	465	1742
211	467	1736
212	468	1731
213	470	1726
214	471	1721
215	472	1716
216	474	1712
217	476	1707
218	477	1703
219	479	1699
220	480	1695
221	482	1690
222	483	1685
223	485	1681
224	487	1677
225	488	1673
226	490	1669
227	491	1665
228	493	1660
229	494	1655
230	496	1651
231	497	1646
232	499	1643
233	500	1639
